survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Bapak,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Minang,S2,Sumatera Barat - Kota Padang,DKI Jakarta,employment,Islam,1968,Bahasa Minang,Bahasa Minang
,,,,,,,Ibu dari ibu,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,Bahasa Minang
,,,,,,,Bapak dari ibu,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,PNS,Islam,,Bahasa Minang,Bahasa Portugis
,,,,,,,Ibu dari bapak,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,SMA,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,
,,,,,,,Bapak dari bapak,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Portuguese,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,wartawan,Islam,,Bahasa Portugis,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#23 5Mar UI,IGGAXC,1965,DKI Jakarta,Perempuan,Orang tua,1-2,Ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Sunda,Diploma,Jawa Barat - Kabupaten Cianjur,DKI Jakarta,ibu rumah tangga,Islam,1939,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Sunda,S1,DKI Jakarta,DKI Jakarta,pegawai negeri,Islam,1936,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari ibu,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Banten,Jawa Barat - Kabupaten Cianjur,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Cianjur,Jawa Barat - Kabupaten Cianjur,pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari bapak,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari bapak,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Istri/Suami,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Jawa,S1,Jawa Timur - Kota Malang,DKI Jakarta,pegawai swasta,Islam,1964,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,,,,,,,,,,,,,
#22 5Mar UI,LMLLDP,1986,DKI Jakarta,Perempuan,Orang tua,12-24,Ibu,"Bahasa Jawa, Bahasa Betawi",Bahasa Jawa,"Bahasa Jawa, Bahasa Indonesia",Bahasa Indonesia,Bahasa Betawi,Bahasa Jawa,Jawa,Magister,Lampung - Kota Metro,DKI Jakarta,guru,Islam,1955,Bahasa Jawa,Bahasa Lampung
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Batak,"Bahasa Indonesia, Bahasa jawa, Bahasa Hokian","Bahasa Jawa, Bahasa Indonesia",Bahasa Betawi,"Bahasa Batak, Bahasa Jawa",Batak,Magister,Sumatera Utara - Kota Medan,DKI Jakarta,Lawyer,Islam,1945,"Bahasa Batak, Bahasa Toba","Bahasa Jawa, Bahasa Hokian, Bahasa Minang"
,,,,,,,Ibu dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Banyumas,Lampung,Guru,Islam,1930,Bahasa Jawa Tengah,Jawa Ngapak
,,,,,,,Bapak dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kabupaten Tulungagung,Lampung,petani,Islam,1920,Bahasa Jawa Timur,Bahasa Jawa
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
,MHTLSE,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,,3-5,Ibu,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,jawa,s1,Jawa Timur - Kabupaten Tulungagung,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,jawa
,,,,,,,Bapak,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,sunda,s2,Jawa Barat - Kabupaten Bogor,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,sunda
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
,UDIFDH,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Keluarga,,Ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#21 5Mar UI,JUVFUB,1989,Jawa Barat - Kota Bogor,Perempuan,Orang tua,12-24,Ibu,Bahasa Indonesia,"Bahasa Sunda, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Bugis","Bahasa Indonesia, Bahasa Jawa, Bahasa Sunda",Jawa,D3,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bogor,PNS,Islam,1956,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Bugis,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Bugis",Bugis,SMA,DKI Jakarta,Bali,wiraswasta,Islam,1953,Bahasa Indonesia,Bahasa Bugis
,,,,,,,Ibu dari ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,wiraswasta,Islam,1920,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak dari ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bandung,Tentara,Islam,1920,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari bapak,Bahasa Bugis,Bahasa Makassar,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",Makassar,,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Makassar,Bahasa Indonesia
,,,,,,,Bapak dari bapak,Bahasa Bugis,Bahasa Bugis,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",Bugis,,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Bugis,Bahasa Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#20 5Mar UI,XSQXFC,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua,lebih dari 24,Ibu,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",Jawa,SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,DKI Jakarta,,Kristen (Katolik),1960,"Bahasa Indonesia, Bahasa Jawa",Bahasa Inggris
,,,,,,,Bapak,"Bahasa Indonesia, Bahasa Manado",,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",Manado,S1,#NAME?,DKI Jakarta,,Kristen (Katolik),1950,"Bahasa Indonesia, Bahasa Manado",Bahasa Inggris
,,,,,,,Ibu dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1930,,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,Bapak dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1920,,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,Ibu dari bapak,Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,Manado,keperawatan, ,DKI Jakarta,perawat,Kristen (Katolik),1930,,"Bahasa Indonesia, Bahasa Manado"
,,,,,,,Bapak dari bapak,Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,Manado,kemiliteran, ,DKI Jakarta,polisi,Kristen (Katolik),1920,,"Bahasa Indonesia, Bahasa Manado"
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#19 5Mar UI,RSJUQA,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,12-24,Ibu,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Sunda,D3,DKI Jakarta,DKI Jakarta,Pegawai Swasta,Islam,1968,Bahasa Indonesia,Bahasa Sunda
,,,,,,,Bapak,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Banjarmasin,SMA,DKI Jakarta,DKI Jakarta,wiraswastawan,Islam,1966,Bahasa Indonesia,"Bahasa Jawa, Bahasa Betawi"
,,,,,,,Ibu dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,SMA,Jawa Barat - Kota Cirebon,DKI Jakarta,pegawai swasta,Islam,1930,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,D3,#NAME?,DKI Jakarta,Dosen,Islam,1920,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari bapak,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Betawi,,DKI Jakarta,DKI Jakarta,,Islam,1930,Bahasa Indonesia,
,,,,,,,Bapak dari bapak,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Banjarmasin,,Kalimantan Selatan - Kabupaten Banjar,DKI Jakarta,wiraswastawan,Islam,1930,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#18 5mar UI,ELVBUR,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,6-12,Ibu,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Sunda,S1,DKI Jakarta,DKI Jakarta,PNS,Islam,1966,Bahasa Sunda,"Bahasa Indonesia, Bahasa Betawi"
,,,,,,,Bapak,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,S1,DKI Jakarta,DKI Jakarta,Swasta,Islam,1960,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Ibu dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,SMP,Jawa Barat,Jawa Barat,,Islam,1950,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari bapak,Bahasa Indonesia,Bahasa Jawa,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,SMA,#NAME?,DKI Jakarta,,Islam,1949,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#17 5Mar UI,VKXUTL,1991,Jawa Barat - Kota Depok,Perempuan,Orang tua,12-24,Ibu,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minang,SMA,DKI Jakarta,Jawa Barat - Kota Depok,Pramugari,Islam,1960,Bahasa Indonesia,Bahasa Minang
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,S3,DKI Jakarta,Jawa Barat - Kota Depok,Dosen,Islam,1956,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Ibu dari ibu,Bahasa Indonesia,Bahasa Belanda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Minang,Minang,SMA,Riau - Kota Pekanbaru,DKI Jakarta,,Islam,1928,Bahasa Indonesia,Bahasa Melayu
,,,,,,,Bapak dari ibu,Bahasa Indonesia,Bahasa Minang,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minang,S1,Aceh,DKI Jakarta,PNS,Islam,1919,Bahasa Indonesia,Bahasa Melayu
,,,,,,,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,,#NAME?,DKI Jakarta,,Islam,1928,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak dari bapak,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,,#NAME?,DKI Jakarta,TNI,Islam,1924,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#16 5Mar UI,NJFWXB,1994,DKI Jakarta,Laki,Orang tua,0,Ibu,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Inggris,Bahasa Indonesia,Bahasa Indonesia,Jawa,SMA,DKI Jakarta,DKI Jakarta,Pedagang,Islam,1970,Bahasa Indonesia,Bahasa Inggris
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Ambon,Ambon,SMA,DKI Jakarta,DKI Jakarta,Buruh,Islam,1965,Bahasa Indonesia,Bahasa Ambon
,,,,,,,Ibu dari ibu,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,SD,#NAME?,DKI Jakarta,wiraswasta,Islam,1927,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#15 5Mar UI,PKRAQJ,1991,Jawa Barat - Kota Depok,Laki,Orang tua,6-12,Ibu,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Sunda,D1,DKI Jakarta,Jawa Barat - Kota Depok,Sekretaris,Islam,1968,Bahasa Sunda,Bahasa Inggris
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,SMA,DKI Jakarta,Jawa Barat - Kota Depok,Karyawan,Islam,1962,Bahasa Jawa,
,,,,,,,Ibu dari ibu,,Bahasa Sunda,,,,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kabupaten Cianjur,,Islam,,Bahasa Sunda,
,,,,,,,Bapak dari ibu,,Bahasa Sunda,,,,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bogor,PNS,Islam,,Bahasa Sunda,
,,,,,,,Ibu dari bapak,,Bahasa Jawa,,,,Bahasa Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,,Bahasa Jawa,
,,,,,,,Bapak dari bapak,,Bahasa Jawa,,,,Bahasa Jawa,Jawa,,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Semarang,TNI,Islam,,Bahasa Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#14 5Mar UI,TYQIWD,1992,Jawa Tengah - Kota Semarang,Laki,Orang tua,1-2,Ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa (Krama),"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,#NAME?,Jawa Tengah - Kota Semarang,PNS (guru SD),Islam,1959,Bahasa Jawa,"Bahasa Indonesia, Bahasa Banjar, Bahasa Sunda"
,,,,,,,Bapak,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa (Krama),"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,"Jawa Tengah - Jepara, Kudus",Jawa Tengah - Kota Semarang,BUMN (PLN),Islam,1950,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,,Bahasa Jawa,,"Bahasa Indonesia, Bahasa Jawa",,"Bahasa Indonesia, Bahasa Jawa",Jawa,SD/SMP,Jawa Tengah - Kota Surakarta, ,ibu rumah tangga,Islam,19321933,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#13 5Mar UI,FHIWYK,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,,Ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#13 5Mar UI,SWFEDT,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,3-5,Ibu,"Bahasa Indonesia, Bahasa Makassar","Bahasa Indonesia, Bahasa Makassar",Bahasa Indonesia,Bahasa Makassar,Bahasa Indonesia,Bahasa Makassar,Makassar,S1,Sulawesi Selatan - Kota Makassar,Sulawesi Selatan - Kota Makassar,PNS,Islam,1946,"Bahasa Indonesia, Bahasa Makassar",Bahasa Makassar
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Minahasa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minahasa,S1,Sulawesi Utara - Kabupaten Minahasa,Sulawesi Selatan - Kota Makassar,PNS,Islam,1946,Bahasa Makassar,Bahasa Minahasa
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#12 5Mar UI,LCOEOP,1972,#NAME?,Perempuan,"Orang tua (Bengkulu)Sendiri (Klg, Bandung)",,Ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Tengah - Kota Magelang,DKI Jakarta - ,PNS,Islam,1949,Bahasa Jawa,
,,,,,,,Bapak,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Jawa",Jawa,Sarjana,Daerah Istimewa Yogyakarta - Kota Yogyakarta,DKI Jakarta - ,PNS,Islam,1939,Bahasa Jawa,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,Bahasa Sunda,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
