session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
RSJUQA,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,12-24,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Sunda,D3,DKI Jakarta,DKI Jakarta,Pegawai Swasta,Islam,1968,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Banjarmasin,SMA,DKI Jakarta,DKI Jakarta,wiraswastawan,Islam,1966,Bahasa Indonesia,"Bahasa Jawa, Bahasa Betawi","Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,SMA,Jawa Barat - Kota Cirebon,DKI Jakarta,pegawai swasta,Islam,1930,Bahasa Sunda,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,D3,#NAME?,DKI Jakarta,Dosen,Islam,1920,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Betawi,,DKI Jakarta,DKI Jakarta,,Islam,1930,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Banjarmasin,,Kalimantan Selatan - Kabupaten Banjar,DKI Jakarta,wiraswastawan,Islam,1930,,
ELVBUR,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,6-12,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Sunda,S1,DKI Jakarta,DKI Jakarta,PNS,Islam,1966,Bahasa Sunda,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,S1,DKI Jakarta,DKI Jakarta,Swasta,Islam,1960,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,SMP,Jawa Barat,Jawa Barat,,Islam,1950,Bahasa Sunda,Bahasa Indonesia,,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,SMA,#NAME?,DKI Jakarta,,Islam,1949,,,,,,,,,,, , ,,,,,
VKXUTL,1991,Jawa Barat - Kota Depok,Perempuan,Orang tua,12-24,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minang,SMA,DKI Jakarta,Jawa Barat - Kota Depok,Pramugari,Islam,1960,Bahasa Indonesia,Bahasa Minang,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,S3,DKI Jakarta,Jawa Barat - Kota Depok,Dosen,Islam,1956,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Belanda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Minang,Minang,SMA,Riau - Kota Pekanbaru,DKI Jakarta,,Islam,1928,Bahasa Indonesia,Bahasa Melayu,Bahasa Indonesia,Bahasa Minang,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minang,S1,Aceh,DKI Jakarta,PNS,Islam,1919,Bahasa Indonesia,Bahasa Melayu,Bahasa Jawa,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,,#NAME?,DKI Jakarta,,Islam,1928,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,,#NAME?,DKI Jakarta,TNI,Islam,1924,Bahasa Jawa,Bahasa Indonesia
NJFWXB,1994,DKI Jakarta,Laki,Orang tua,0,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Inggris,Bahasa Indonesia,Bahasa Indonesia,Jawa,SMA,DKI Jakarta,DKI Jakarta,Pedagang,Islam,1970,Bahasa Indonesia,Bahasa Inggris,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Ambon,Ambon,SMA,DKI Jakarta,DKI Jakarta,Buruh,Islam,1965,Bahasa Indonesia,Bahasa Ambon,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,SD,#NAME?,DKI Jakarta,wiraswasta,Islam,1927,Bahasa Indonesia,Bahasa Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
PKRAQJ,1991,Jawa Barat - Kota Depok,Laki,Orang tua,6-12,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Sunda,D1,DKI Jakarta,Jawa Barat - Kota Depok,Sekretaris,Islam,1968,Bahasa Sunda,Bahasa Inggris,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Jawa,SMA,DKI Jakarta,Jawa Barat - Kota Depok,Karyawan,Islam,1962,Bahasa Jawa,,,Bahasa Sunda,,,,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kabupaten Cianjur,,Islam,,Bahasa Sunda,,,Bahasa Sunda,,,,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bogor,PNS,Islam,,Bahasa Sunda,,,Bahasa Jawa,,,,Bahasa Jawa,Jawa,,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,,Islam,,Bahasa Jawa,,,Bahasa Jawa,,,,Bahasa Jawa,Jawa,,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Semarang,TNI,Islam,,Bahasa Jawa,
TYQIWD,1992,Jawa Tengah - Kota Semarang,Laki,Orang tua,1-2,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa (Krama),"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,#NAME?,Jawa Tengah - Kota Semarang,PNS (guru SD),Islam,1959,Bahasa Jawa,"Bahasa Indonesia, Bahasa Banjar, Bahasa Sunda","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa (Krama),"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,"Jawa Tengah - Jepara, Kudus",Jawa Tengah - Kota Semarang,BUMN (PLN),Islam,1950,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,,"Bahasa Indonesia, Bahasa Jawa",,"Bahasa Indonesia, Bahasa Jawa",Jawa,SD/SMP,Jawa Tengah - Kota Surakarta, ,ibu rumah tangga,Islam,19321933,Bahasa Jawa,Bahasa Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
FHIWYK,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
SWFEDT,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,3-5,"Bahasa Indonesia, Bahasa Makassar","Bahasa Indonesia, Bahasa Makassar",Bahasa Indonesia,Bahasa Makassar,Bahasa Indonesia,Bahasa Makassar,Makassar,S1,Sulawesi Selatan - Kota Makassar,Sulawesi Selatan - Kota Makassar,PNS,Islam,1946,"Bahasa Indonesia, Bahasa Makassar",Bahasa Makassar,Bahasa Indonesia,Bahasa Minahasa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Minahasa,S1,Sulawesi Utara - Kabupaten Minahasa,Sulawesi Selatan - Kota Makassar,PNS,Islam,1946,Bahasa Makassar,Bahasa Minahasa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
LCOEOP,1972,#NAME?,Perempuan,"Orang tua (Bengkulu)Sendiri (Klg, Bandung)",,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Tengah - Kota Magelang,DKI Jakarta - ,PNS,Islam,1949,Bahasa Jawa,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Jawa",Jawa,Sarjana,Daerah Istimewa Yogyakarta - Kota Yogyakarta,DKI Jakarta - ,PNS,Islam,1939,Bahasa Jawa,,,,,,,,,, , ,,,,Bahasa Sunda,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MPNGOZ,1968,Sumatera Barat - Kota Padang,Perempuan,Orang tua,12-24,Bahasa Minang,,Bahasa Indonesia,Bahasa Minang,Bahasa Indonesia,Bahasa Minang,Minang,Meises School,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Perawat,Islam,1929,Bahasa Minang,Bahasa Minang,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Minang,Bahasa Minang,Bahasa Jawa,Jawa,SGB,Jawa Tengah - Kabupaten Klaten,Sumatera Barat - Kota Padang,Polri,Islam,1932,Bahasa Jawa,Bahasa Jawa,Bahasa Minang,Bahasa Minang,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,,Islam,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,,Islam,,Bahasa Minang,Bahasa Minang,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,ibu rumah tangga,Kristen (Protestan),,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,,Islam,,Bahasa Jawa,Bahasa Jawa
