	speaker	question	answer
34	niscsp	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
35	niscsp	berbicara dalam  daerah anda itu kuno	-2
36	niscsp	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
37	niscsp	menguasai  indonesia resmi bagi anda itu penting	1
38	niscsp	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
39	niscsp	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
40	niscsp	menguasai  inggris bagi anda itu penting	1
41	niscsp	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
42	niscsp	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
43	niscsp	menguasai  asing selain  inggris itu penting	1
44	oyltse	menguasai  orang tua anda itu penting	2
45	oyltse	menguasai  orang tua anda itu penting	2
46	oyltse	menguasai  daerah asal (setempat) anda itu penting	2
47	oyltse	anak-anak anda perlu menguasai  pertama anda	2
48	oyltse	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
49	oyltse	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
50	oyltse	berbicara dalam  daerah anda itu kuno	-2
51	oyltse	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
52	oyltse	menguasai  indonesia resmi bagi anda itu penting	2
53	oyltse	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
54	oyltse	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
55	oyltse	menguasai  inggris bagi anda itu penting	2
56	oyltse	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
57	oyltse	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
58	oyltse	menguasai  asing selain  inggris itu penting	1
59	eerwkx	menguasai  orang tua anda itu penting	2
60	eerwkx	menguasai  daerah asal (setempat) anda itu penting	2
61	eerwkx	anak-anak anda perlu menguasai  pertama anda	2
62	eerwkx	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
63	eerwkx	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
64	eerwkx	berbicara dalam  daerah anda itu kuno	-2
65	eerwkx	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
66	eerwkx	menguasai  indonesia resmi bagi anda itu penting	2
67	eerwkx	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	-1
68	eerwkx	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
69	eerwkx	menguasai  inggris bagi anda itu penting	1
70	eerwkx	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
71	eerwkx	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
72	eerwkx	menguasai  asing selain  inggris itu penting	1
73	skiouu	menguasai  orang tua anda itu penting	2
74	skiouu	menguasai  daerah asal (setempat) anda itu penting	2
75	skiouu	anak-anak anda perlu menguasai  pertama anda	2
76	skiouu	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
77	skiouu	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
78	skiouu	berbicara dalam  daerah anda itu kuno	-2
79	skiouu	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
80	skiouu	menguasai  indonesia resmi bagi anda itu penting	2
81	skiouu	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
82	skiouu	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
83	skiouu	menguasai  inggris bagi anda itu penting	2
84	skiouu	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
85	skiouu	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
86	skiouu	menguasai  asing selain  inggris itu penting	1
87	ukornv	menguasai  orang tua anda itu penting	2
88	ukornv	menguasai  daerah asal (setempat) anda itu penting	2
89	ukornv	anak-anak anda perlu menguasai  pertama anda	2
90	ukornv	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
91	ukornv	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
92	ukornv	berbicara dalam  daerah anda itu kuno	-1
93	ukornv	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
94	ukornv	menguasai  indonesia resmi bagi anda itu penting	1
95	ukornv	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
96	ukornv	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
97	ukornv	menguasai  inggris bagi anda itu penting	1
98	ukornv	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
99	ukornv	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
100	ukornv	menguasai  asing selain  inggris itu penting	1
101	wdpemb	menguasai  orang tua anda itu penting	2
102	wdpemb	menguasai  daerah asal (setempat) anda itu penting	2
103	wdpemb	anak-anak anda perlu menguasai  pertama anda	1
104	wdpemb	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
105	wdpemb	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
106	wdpemb	berbicara dalam  daerah anda itu kuno	-2
107	wdpemb	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
108	wdpemb	menguasai  indonesia resmi bagi anda itu penting	1
109	wdpemb	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	-1
110	wdpemb	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	-1
111	wdpemb	menguasai  inggris bagi anda itu penting	-1
112	wdpemb	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
113	wdpemb	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
114	wdpemb	menguasai  asing selain  inggris itu penting	1
115	valrmt	menguasai  orang tua anda itu penting	2
116	valrmt	menguasai  daerah asal (setempat) anda itu penting	2
117	valrmt	anak-anak anda perlu menguasai  pertama anda	2
118	valrmt	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
119	valrmt	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
120	valrmt	berbicara dalam  daerah anda itu kuno	-2
121	valrmt	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
122	valrmt	menguasai  indonesia resmi bagi anda itu penting	1
123	valrmt	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
124	valrmt	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
125	valrmt	menguasai  inggris bagi anda itu penting	1
126	valrmt	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
127	valrmt	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
128	valrmt	menguasai  asing selain  inggris itu penting	0
129	hmkwvl	menguasai  orang tua anda itu penting	2
130	hmkwvl	menguasai  daerah asal (setempat) anda itu penting	2
131	hmkwvl	anak-anak anda perlu menguasai  pertama anda	2
132	hmkwvl	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
133	hmkwvl	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
134	hmkwvl	berbicara dalam  daerah anda itu kuno	-2
135	hmkwvl	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
136	hmkwvl	menguasai  indonesia resmi bagi anda itu penting	1
137	hmkwvl	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
138	hmkwvl	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
139	hmkwvl	menguasai  inggris bagi anda itu penting	1
140	hmkwvl	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
141	hmkwvl	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
142	hmkwvl	menguasai  asing selain  inggris itu penting	0
143	gokdti	menguasai  orang tua anda itu penting	2
144	gokdti	menguasai  daerah asal (setempat) anda itu penting	2
145	gokdti	anak-anak anda perlu menguasai  pertama anda	2
146	gokdti	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
147	gokdti	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
148	gokdti	berbicara dalam  daerah anda itu kuno	-2
149	gokdti	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
150	gokdti	menguasai  indonesia resmi bagi anda itu penting	2
151	gokdti	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
152	gokdti	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
153	gokdti	menguasai  inggris bagi anda itu penting	2
154	gokdti	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
155	gokdti	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
156	gokdti	menguasai  asing selain  inggris itu penting	1
157	adrrsg	menguasai  orang tua anda itu penting	2
158	adrrsg	menguasai  daerah asal (setempat) anda itu penting	2
159	adrrsg	anak-anak anda perlu menguasai  pertama anda	2
160	adrrsg	anak-anak anda perlu menguasai  pertama anda	2
161	adrrsg	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
162	adrrsg	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
163	adrrsg	berbicara dalam  daerah anda itu kuno	-2
164	adrrsg	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
165	adrrsg	menguasai  indonesia resmi bagi anda itu penting	2
166	adrrsg	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
167	adrrsg	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
168	adrrsg	menguasai  inggris bagi anda itu penting	1
169	adrrsg	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
170	adrrsg	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
171	adrrsg	menguasai  asing selain  inggris itu penting	1
172	qziqzc	menguasai  orang tua anda itu penting	2
173	qziqzc	menguasai  daerah asal (setempat) anda itu penting	2
174	qziqzc	anak-anak anda perlu menguasai  pertama anda	1
175	qziqzc	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
176	qziqzc	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
177	qziqzc	berbicara dalam  daerah anda itu kuno	-2
178	qziqzc	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
179	qziqzc	menguasai  indonesia resmi bagi anda itu penting	1
180	qziqzc	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
181	qziqzc	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	-1
182	qziqzc	menguasai  inggris bagi anda itu penting	2
183	qziqzc	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
184	qziqzc	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
185	qziqzc	menguasai  asing selain  inggris itu penting	1
186	qvspzs	menguasai  orang tua anda itu penting	2
187	qvspzs	menguasai  daerah asal (setempat) anda itu penting	1
188	qvspzs	anak-anak anda perlu menguasai  pertama anda	1
189	qvspzs	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
190	qvspzs	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
191	qvspzs	berbicara dalam  daerah anda itu kuno	-1
192	qvspzs	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
193	qvspzs	menguasai  indonesia resmi bagi anda itu penting	1
194	qvspzs	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
195	qvspzs	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	0
196	qvspzs	menguasai  inggris bagi anda itu penting	0
197	qvspzs	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
198	qvspzs	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	0
199	qvspzs	menguasai  asing selain  inggris itu penting	0
200	vggktu	menguasai  orang tua anda itu penting	2
201	vggktu	menguasai  orang tua anda itu penting	2
202	vggktu	menguasai  daerah asal (setempat) anda itu penting	2
203	vggktu	anak-anak anda perlu menguasai  pertama anda	2
204	vggktu	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
205	vggktu	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
206	vggktu	berbicara dalam  daerah anda itu kuno	-2
207	vggktu	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
208	vggktu	menguasai  indonesia resmi bagi anda itu penting	2
209	vggktu	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
210	vggktu	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
211	vggktu	menguasai  inggris bagi anda itu penting	2
212	vggktu	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
213	vggktu	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
214	vggktu	menguasai  asing selain  inggris itu penting	1
215	gmaxrs	menguasai  orang tua anda itu penting	2
216	gmaxrs	menguasai  daerah asal (setempat) anda itu penting	2
217	gmaxrs	anak-anak anda perlu menguasai  pertama anda	1
218	gmaxrs	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
219	gmaxrs	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
220	gmaxrs	berbicara dalam  daerah anda itu kuno	-2
221	gmaxrs	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
222	gmaxrs	menguasai  indonesia resmi bagi anda itu penting	2
223	gmaxrs	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
224	gmaxrs	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	0
225	gmaxrs	menguasai  inggris bagi anda itu penting	1
226	gmaxrs	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
227	gmaxrs	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
228	gmaxrs	menguasai  asing selain  inggris itu penting	1
229	inuyjk	menguasai  orang tua anda itu penting	2
230	inuyjk	menguasai  daerah asal (setempat) anda itu penting	2
231	inuyjk	anak-anak anda perlu menguasai  pertama anda	2
232	inuyjk	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
233	inuyjk	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
234	inuyjk	berbicara dalam  daerah anda itu kuno	-2
235	inuyjk	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	0
236	inuyjk	menguasai  indonesia resmi bagi anda itu penting	1
237	inuyjk	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
238	inuyjk	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
239	inuyjk	menguasai  inggris bagi anda itu penting	2
240	inuyjk	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
241	inuyjk	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
242	inuyjk	menguasai  asing selain  inggris itu penting	0
243	mtenqv	menguasai  orang tua anda itu penting	2
244	mtenqv	menguasai  daerah asal (setempat) anda itu penting	2
245	mtenqv	anak-anak anda perlu menguasai  pertama anda	1
246	mtenqv	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
247	mtenqv	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
248	mtenqv	berbicara dalam  daerah anda itu kuno	-2
249	mtenqv	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
250	mtenqv	menguasai  indonesia resmi bagi anda itu penting	1
251	mtenqv	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
252	mtenqv	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	-1
253	mtenqv	menguasai  inggris bagi anda itu penting	2
254	mtenqv	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
255	mtenqv	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
256	mtenqv	menguasai  asing selain  inggris itu penting	1
257	nxypbq	menguasai  orang tua anda itu penting	2
258	nxypbq	menguasai  daerah asal (setempat) anda itu penting	2
259	nxypbq	anak-anak anda perlu menguasai  pertama anda	2
260	nxypbq	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
261	nxypbq	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-2
262	nxypbq	berbicara dalam  daerah anda itu kuno	-2
263	nxypbq	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
264	nxypbq	menguasai  indonesia resmi bagi anda itu penting	2
265	nxypbq	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
266	nxypbq	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
267	nxypbq	menguasai  inggris bagi anda itu penting	2
268	nxypbq	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
269	nxypbq	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
270	nxypbq	menguasai  asing selain  inggris itu penting	1
271	zzktcz	menguasai  orang tua anda itu penting	2
272	zzktcz	menguasai  daerah asal (setempat) anda itu penting	2
273	zzktcz	anak-anak anda perlu menguasai  pertama anda	2
274	zzktcz	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
275	zzktcz	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
276	zzktcz	berbicara dalam  daerah anda itu kuno	-2
277	zzktcz	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
278	zzktcz	menguasai  indonesia resmi bagi anda itu penting	2
279	zzktcz	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
280	zzktcz	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
281	zzktcz	menguasai  inggris bagi anda itu penting	2
282	zzktcz	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
283	zzktcz	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
284	zzktcz	menguasai  asing selain  inggris itu penting	2
285	ytdbdu	menguasai  orang tua anda itu penting	2
286	ytdbdu	menguasai  daerah asal (setempat) anda itu penting	2
287	ytdbdu	anak-anak anda perlu menguasai  pertama anda	2
288	ytdbdu	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
289	ytdbdu	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
290	ytdbdu	berbicara dalam  daerah anda itu kuno	-2
291	ytdbdu	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
292	ytdbdu	menguasai  indonesia resmi bagi anda itu penting	2
293	ytdbdu	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
294	ytdbdu	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
295	ytdbdu	menguasai  inggris bagi anda itu penting	1
296	ytdbdu	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
297	ytdbdu	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
298	ytdbdu	menguasai  asing selain  inggris itu penting	0
299	jddxuo	menguasai  orang tua anda itu penting	2
300	jddxuo	menguasai  daerah asal (setempat) anda itu penting	2
301	jddxuo	anak-anak anda perlu menguasai  pertama anda	2
302	jddxuo	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
303	jddxuo	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
304	jddxuo	berbicara dalam  daerah anda itu kuno	-2
305	jddxuo	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
306	jddxuo	menguasai  indonesia resmi bagi anda itu penting	2
307	jddxuo	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
308	jddxuo	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
309	jddxuo	menguasai  inggris bagi anda itu penting	1
310	jddxuo	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
311	jddxuo	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
312	jddxuo	menguasai  asing selain  inggris itu penting	1
313	uhdaqt	menguasai  orang tua anda itu penting	2
314	uhdaqt	menguasai  daerah asal (setempat) anda itu penting	2
315	uhdaqt	anak-anak anda perlu menguasai  pertama anda	2
316	uhdaqt	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
317	uhdaqt	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	0
318	uhdaqt	berbicara dalam  daerah anda itu kuno	-1
319	uhdaqt	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
320	uhdaqt	menguasai  indonesia resmi bagi anda itu penting	2
321	uhdaqt	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	2
322	uhdaqt	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
323	uhdaqt	menguasai  inggris bagi anda itu penting	2
324	uhdaqt	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	2
325	uhdaqt	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	2
326	uhdaqt	menguasai  asing selain  inggris itu penting	1
327	dzedbe	menguasai  orang tua anda itu penting	2
328	dzedbe	menguasai  orang tua anda itu penting	2
329	dzedbe	menguasai  daerah asal (setempat) anda itu penting	2
330	dzedbe	anak-anak anda perlu menguasai  pertama anda	2
331	dzedbe	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	-1
332	dzedbe	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
333	dzedbe	berbicara dalam  daerah anda itu kuno	-2
334	dzedbe	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	-1
335	dzedbe	menguasai  indonesia resmi bagi anda itu penting	1
336	dzedbe	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
337	dzedbe	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
338	dzedbe	menguasai  inggris bagi anda itu penting	1
339	dzedbe	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
340	dzedbe	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
341	dzedbe	menguasai  asing selain  inggris itu penting	0
342	zkwtsg	menguasai  orang tua anda itu penting	2
343	zkwtsg	menguasai  daerah asal (setempat) anda itu penting	2
344	zkwtsg	anak-anak anda perlu menguasai  pertama anda	2
345	zkwtsg	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	2
346	zkwtsg	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
