Comments_Page1,Session_token,Person_ID,Year_of_birth,Location_grew_up,Sex,Lived_with_who_when_growing_up,Comments_page5,z_calc_Button_label_locations_list,z_calc_Count_other_people,kinships::z_calc_Beliau_label,kinships::z_calc_Where_label,kinships::z_calc_With_who_label,other_people::Ethnicity,other_people::Kinship_type,other_people::Language_used_at_home_now,other_people::Language_used_at_home_when_young,other_people::Language_used_at_home_at_workplace,other_people::Language_used_at_home_with_neighbours,other_people::Language_used_at_home_with_partner,other_people::Language_used_at_home_with_relatives,other_people::Last_level_of_education,other_people::Location_grewup,other_people::Location_of_home,other_people::Profession,other_people::Religion,other_people::Year_of_birth,other_peoples_languages_FirstLanguage::Language_name,other_peoples_languages_OtherLanguages::Language_name
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Ibu dari bapak,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,SMA,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Portuguese,Bapak dari bapak,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,wartawan,Islam,,Bahasa Portugis,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#23 5Mar UI,IGGAXC,1.30404E+23,1965,DKI Jakarta,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,7,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Diploma,Jawa Barat - Kabupaten Cianjur,DKI Jakarta,ibu rumah tangga,Islam,1939,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",S1,DKI Jakarta,DKI Jakarta,pegawai negeri,Islam,1936,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari ibu,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Banten,Jawa Barat - Kabupaten Cianjur,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari ibu,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Jawa Barat - Kabupaten Cianjur,Jawa Barat - Kabupaten Cianjur,pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari bapak,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari bapak,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,Jawa,Istri/Suami,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",S1,Jawa Timur - Kota Malang,DKI Jakarta,pegawai swasta,Islam,1964,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,,,,,,,,,,,,,,,
#22 5Mar UI,LMLLDP,1.30404E+23,1986,DKI Jakarta,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Bahasa Jawa, Bahasa Betawi",Bahasa Jawa,"Bahasa Jawa, Bahasa Indonesia",Bahasa Indonesia,Bahasa Betawi,Bahasa Jawa,Magister,Lampung - Kota Metro,DKI Jakarta,guru,Islam,1955,Bahasa Jawa,Bahasa Lampung
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Batak,Bapak,Bahasa Indonesia,Bahasa Batak,"Bahasa Indonesia, Bahasa jawa, Bahasa Hokian","Bahasa Jawa, Bahasa Indonesia",Bahasa Betawi,"Bahasa Batak, Bahasa Jawa",Magister,Sumatera Utara - Kota Medan,DKI Jakarta,Lawyer,Islam,1945,"Bahasa Batak, Bahasa Toba","Bahasa Jawa, Bahasa Hokian, Bahasa Minang"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,,Jawa Tengah - Kabupaten Banyumas,Lampung,Guru,Islam,1930,Bahasa Jawa Tengah,Jawa Ngapak
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,,Jawa Timur - Kabupaten Tulungagung,Lampung,petani,Islam,1920,Bahasa Jawa Timur,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,MHTLSE,1.30404E+23,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,jawa,Ibu,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,s1,Jawa Timur - Kabupaten Tulungagung,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,sunda,Bapak,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,s2,Jawa Barat - Kabupaten Bogor,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,sunda
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
,UDIFDH,1.30404E+23,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Keluarga,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#21 5Mar UI,JUVFUB,1.30404E+23,1989,Jawa Barat - Kota Bogor,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Bahasa Indonesia,"Bahasa Sunda, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Bugis","Bahasa Indonesia, Bahasa Jawa, Bahasa Sunda",D3,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bogor,PNS,Islam,1956,Bahasa Indonesia,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Bugis,Bapak,Bahasa Indonesia,Bahasa Bugis,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Bugis",SMA,DKI Jakarta,Bali,wiraswasta,Islam,1953,Bahasa Indonesia,Bahasa Bugis
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,wiraswasta,Islam,1920,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bandung,Tentara,Islam,1920,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Makassar,Ibu dari bapak,Bahasa Bugis,Bahasa Makassar,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Makassar,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Bugis,Bapak dari bapak,Bahasa Bugis,Bahasa Bugis,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Bugis,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#20 5Mar UI,XSQXFC,1.30404E+23,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,DKI Jakarta,,Kristen (Katolik),1960,"Bahasa Indonesia, Bahasa Jawa",Bahasa Inggris
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Manado,Bapak,"Bahasa Indonesia, Bahasa Manado",,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",S1,#NAME?,DKI Jakarta,,Kristen (Katolik),1950,"Bahasa Indonesia, Bahasa Manado",Bahasa Inggris
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1930,,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1920,,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Manado,Ibu dari bapak,Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,keperawatan, ,DKI Jakarta,perawat,Kristen (Katolik),1930,,"Bahasa Indonesia, Bahasa Manado"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Manado,Bapak dari bapak,Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,kemiliteran, ,DKI Jakarta,polisi,Kristen (Katolik),1920,,"Bahasa Indonesia, Bahasa Manado"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#19 5Mar UI,RSJUQA,1.30404E+23,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,D3,DKI Jakarta,DKI Jakarta,Pegawai Swasta,Islam,1968,Bahasa Indonesia,Bahasa Sunda
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Banjarmasin,Bapak,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,SMA,DKI Jakarta,DKI Jakarta,wiraswastawan,Islam,1966,Bahasa Indonesia,"Bahasa Jawa, Bahasa Betawi"
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",SMA,Jawa Barat - Kota Cirebon,DKI Jakarta,pegawai swasta,Islam,1930,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Bapak dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",D3,#NAME?,DKI Jakarta,Dosen,Islam,1920,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Betawi,Ibu dari bapak,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,,DKI Jakarta,DKI Jakarta,,Islam,1930,Bahasa Indonesia,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Banjarmasin,Bapak dari bapak,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,,Kalimantan Selatan - Kabupaten Banjar,DKI Jakarta,wiraswastawan,Islam,1930,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#18 5mar UI,ELVBUR,1.30404E+23,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",S1,DKI Jakarta,DKI Jakarta,PNS,Islam,1966,Bahasa Sunda,"Bahasa Indonesia, Bahasa Betawi"
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,S1,DKI Jakarta,DKI Jakarta,Swasta,Islam,1960,Bahasa Indonesia,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Sunda,Ibu dari ibu,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,SMP,Jawa Barat,Jawa Barat,,Islam,1950,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Bahasa Indonesia,Bahasa Jawa,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,SMA,#NAME?,DKI Jakarta,,Islam,1949,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
