session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs,dengan_ibu_lang,dengan_bapak_lang,dengan_kakak_adik_lang,dengan_nenek_dan_kakek_lang,dengan_suami_istri_lang,dengan_sanak_saudara_lang,dengan_tetangga_lang,dengan_pembantu_lang,apabila_marah_lang,dalam_mimpi_lang,berhitung_lang,kirim_sms_ke_keluarga_lang,kirim_sms_ke_teman_lang,kirim_sms_ke_suami_istri_lang,dalam_jejaring_sosial_lang,berdoa_dalam_hati_lang,berdoa_di_tempat_ibadah_lang,di_rumah_lang,di_tempat_kerja_lang,di_pasar_lang,di_warung_lang,di_bank_lang,di_kantor_pos_lang,di_sd_dengan_guru_lang,di_sd_dengan_teman_sekelas_lang,di_sma_dengan_guru_lang,di_sma_dengan_teman_sekelas_lang,di_kendaraan_umum_lang,membaca_novel_lang,membaca_koran_lang,membaca_majalah_lang,mendengar_musik_lang,mendengar_radio_lang,menonton_tv_lang
oszphf,1978,jawa barat - kota bogor,perempuan,ayah dan ibu,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kgmdty,, ,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vncrnx,1992,dki jakarta - kota administrasi jakarta timur,laki,orang tua dan saudara kandung,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfqdrs,,jambi - kota jambi,perempuan,orang tua,3-5,jambi,batak,,jambi,batak,batak,batak,d3,sumatera utara - kota medan,jambi - kota jambi,rumah tangga,islam,1964,batak,indonesia,jambi,batak,kantor camat/pensiun (-),jambi,batak,batak,batak,sma,sumatera utara - kota medan,jambi - kota jambi,pensiunan pns,islam,1954,batak,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,jambi,jambi,jambi,indonesia,,indonesia,jambi,,jambi,,jambi,jambi,jambi,,gaul,indonesia,indonesia,jambi,,jambi,jambi,indonesia,indonesia,jambi,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris"
nuolxj,1990,#name?,laki,orang tua,,jambi,padang,indonesia,jambi,jambi,"padang, jambi",padang,s1,jambi - kota jambi,jambi - kota jambi,,islam,1963,padang,jambi,jambi,jambi seberang,indonesia,jambi,jambi,jambi seberang,jambi seberang,s1,jambi - kota jambi,jambi - kota jambi,,islam,1958,jambi seberang,indonesia,jambi,padang,,jambi,padang,padang,padang,,sumatera barat - kota padang,jambi - kota jambi,,islam,,padang,jambi,padang,padang,indonesia,jambi,padang,padang,padang,,sumatera selatan - kota palembang,jambi - kota jambi,guru,islam,,padang,jambi,,jambi,,jambi,,jambi,jambi,,jambi - kota jambi,jambi - kota jambi,,islam,,jambi,,,jambi,,jambi,,jambi,jambi,,jambi - kota jambi,jambi - kota jambi,wiraswasta,islam,,jambi,,jambi,jambi,jambi,jambi,,jambi,jambi,jambi,jambi,,jambi,jambi,jambi,,"english, indonesia",indonesia,indonesia,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,jambi,indonesia,jambi,jambi,indonesia,indonesia,"english, indonesia","english, indonesia",indonesia,"english, indonesia"
ohmnan,1994,jambi - kota jambi,perempuan,orang tua,lebih dari 24,jambi,jambi,jambi,jambi,jambi,jambi,melayu jambi,,jambi - kota jambi,jambi - kota jambi,,islam,,jambi,jambi,jambi,padang,jambi,indonesia,jambi,padang,padang,,sumatera barat - kota padang,jambi - kota jambi,,islam,,jambi,padang,melayu,melayu,,melayu,melayu,melayu,melayu jambi,,jambi - kota jambi,jambi - kota jambi,petani,islam,1927,melayu jambi,,melayu,melayu,,melayu,melayu,melayu,melayu jambi,,jambi - kota jambi,jambi - kota jambi,petani,islam,1917,melayu,,padang,padang,,padang,padang,padang,padang,,sumatera barat - kota padang,sumatera barat - kota padang,petani,islam,1933,padang,,padang,padang,,padang,padang,padang,padang,,sumatera barat - kota padang,sumatera barat - kota padang,petani,islam,1930,padang,,jambi,jambi,jambi,jambi,,jambi,jambi,jambi,inggris,jambi,indonesia,indonesia,indonesia,,indonesia,jambi,indonesia,jambi,,indonesia,indonesia,indonesia,indonesia,indonesia,jambi,indonesia,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,jambi,jambi
bptqvj,1993,jambi - kabupaten muaro jambi,perempuan,orang tua,3-5,minang,minang,jambi,jambi,jambi,minang,sikumbang/ minangkabau,sma,sumatera barat - kota padang,jambi - ma. jambi,irt,islam,1970,minang,,kerinci,kerinci,jambi,jambi,jambi,kerinci,kerinci,s1,jambi - kabupaten kerinci,jambi - kab. ma. jambi,pegawai swasta,islam,1965,kerinci/ pulau tengah,,minang,minang,minang,minang,minang,minang,sikumbang,,sumatera barat,sumatera barat,irt,islam,1950,minang,,minang,minang,minang,minang,minang,minang,sikumbang,,sumatera barat,sumatera barat,supir,islam,1950,kerinci,,kerinci,kerinci,kerinci,kerinci,kerinci,kerinci,kerinci,,jambi - kabupaten kerinci,jambi - kabupaten kerinci,irt,islam,1950,,,kerinci,kerinci,kerinci,kerinci,kerinci,kerinci,kerinci,,jambi - kabupaten kerinci,jambi - kabupaten kerinci,petani,islam,1950,,,jambi,jambi,jambi,"minang, kerinci",,"minang, kerinci",jambi,,jambi,jambi,indonesia,indonesia,inggris,,"inggris, arab, indonesia","arab, indonesia",arab,jambi,inggris,jambi,jambi,indonesia,jambi,jambi,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,"inggris, indonesia",indonesia,"inggris, indonesia"
yotkih,1995,jambi - kabupaten sarolangun,perempuan,saudara/kakak,6-12,daerah (sarolangun),bengkulu,indonesia,daerah (sarolangun),daerah (sarolangun),daerah (sarolangun),,ma,bengkulu,jambi - kabupaten sarolangun,ibu rumah tangga,islam,1972,bengkulu,indonesia,daerah (sarolangun),daerah (sarolangun),indonesia,daerah (sarolangun),daerah (sarolangun),daerah (sarolangun),,spg,jambi,jambi - kabupaten sarolangun,wira swasta,islam,1967,daerah (sarolangun),indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,daerah (sarolangun),daerah (sarolangun),daerah (sarolangun),daerah (sarolangun),,indonesia,daerah (sarolangun),,daerah (sarolangun),indonesia,mandarin,indonesia,indonesia,,inggris,indonesia,indonesia,daerah (sarolangun),indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,gaul,indonesia,gaul,indonesia,gaul,inggris,indonesia,daerah (sarolangun)
havugi,1995,jambi,perempuan,orangtua,3-5,jambi,"padang, jambi",jambi,jambi,jambi,jambi,padang,sma,jambi,jambi,irt,islam,1970,indonesia,"padang, jambi",jambi,"jawa, jambi",jambi,jambi,jambi,jambi,jawa,sma,jambi,jambi,karyawan swasta,islam,1970,indonesia,"jawa, jambi",jambi,padang,,jambi,padang,padang,minang,sd,sumatera barat - kota padang,jambi,pedagang,islam,1943,minang,jambi,jambi,padang,,jambi,padang,padang,minang,,sumatera barat - kota padang,jambi,kuli,islam,1943,minang,jambi,jawa,jawa,,jambi,jambi,jawa,jawa,,#name?,jambi,,islam,1943,jawa,jambi,jawa,jawa,,jambi,jambi,jawa,jawa,,#name?,jambi,,islam,1943,jawa,jambi,jambi,jambi,jambi,jambi,,jambi,,,jambi,diam,indonesia,indonesia,jambi,,indonesia,indonesia,indonesia,jambi,,jambi,jambi,indonesia,indonesia,indonesia,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia
jroegm,1995,jambi,perempuan,mama angkat,12-24,melayu,indonesia,indonesia,indonesia,melayu,indonesia,,smea,#name?,#name?,irt,islam,1969,indonesia,"melayu, jawa",melayu,indonesia,indonesia,indonesia,melayu,indonesia,,sgo,#name?,#name?,wiraswasta,islam,1970,indonesia,melayu,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,melayu,melayu,indonesia,melayu,,indonesia,melayu,,indonesia,indonesia,melayu,melayu,indonesia,,indonesia,melayu,melayu,melayu,,melayu,melayu,indonesia,indonesia,indonesia,melayu,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
jzrbik,1995,jambi - kabupaten tanjung jabung timur,perempuan,orang tua,lebih dari 24,batak,batak,"indonesia, melayu",melayu,batak,batak,batak,s1,sumatera utara - kota medan,jambi,guru/pns,islam,1963,batak,indonesia,batak,batak,"indonesia, melayu",melayu,batak,batak,batak,sma,sumatera utara - kota medan,jambi,wiraswasta,islam,1953,batak,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,batak,batak,melayu,batak,,melayu,,,melayu,melayu,indonesia,melayu,melayu,,melayu,indonesia,indonesia,batak,,indonesia,melayu,indonesia,indonesia,indonesia,indonesia,indonesia,melayu,melayu,indonesia,indonesia,indonesia,inggris,inggris,indonesia
fdpguq,1994,jambi - kota jambi,perempuan,orang tua,6-12,jambi,jambi,,jambi,jambi,jambi,jambi,sma,jambi,jambi,,islam,1973,jambi,indonesia,jambi,jambi,jambi,jambi,jambi,jambi,jambi,sma,jambi,jambi,,islam,1963,jambi,indonesia,,,,,,,,, , ,,,,jawa,jambi,jambi,,,jawa,jambi,jambi,,,jambi,jambi - kabupaten batanghari,,islam,1945,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,jambi,jambi,jambi,jambi,,jambi,jambi,,jambi,,jambi,jambi,indonesia,,indonesia,indonesia,indonesia,jambi,,jambi,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,jambi,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
lmmwrs,1995,jambi - kabupaten tebo,perempuan,orangtua,lebih dari 24,,,,,,,,sd,jambi - kabupaten tebo, ,petani,islam,1977,jawa,,,,,,,,,sd,jambi - kabupaten tebo, ,petani,islam,1976,jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,jawa,jawa,jawa,jawa,,jawa,,,jawa,jawa,jawa,indonesia,indonesia,,indonesia,indonesia,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
pqaxzc,1994,jambi - muara bungo,perempuan,orangtua,,melayu,melayu,melayu,melayu,melayu,melayu,,smp,#name?,#name?,petani,islam,1973,melayu,daerah,melayu,melayu,indonesia,melayu,melayu,melayu,,s1,#name?,#name?,pns,islam,1966,"melayu, daerah",indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,melayu,melayu,melayu,melayu,,melayu,melayu,melayu,m. bungo,m. bungo,m. bungo,m. bungo,jambi,,indonesia,indonesia,indonesia,melayu,m. bungo,indonesia,m. bungo,indonesia,indonesia,m. bungo,melayu,indonesia,m. bungo,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
bijmrg,1995,jambi - kabupaten batanghari,perempuan,orangtua,6-12,jambi,jambi,jambi,jambi,jambi,jambi,,smp,jambi - kabupaten batanghari, ,wiraswasta,islam,1978,jambi,jambi,jambi,jambi,jambi,jambi,jambi,jambi,jambi,sma,jambi - kabupaten batanghari, ,petani,islam,1972,jambi,jambi,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,jambi,jambi,jambi,jambi,,jambi,jambi,,jambi,jambi,jambi,indonesia,gaul,,indonesia,indonesia,indonesia,jambi,,indonesia,indonesia,indonesia,indonesia,indonesia,jambi,indonesia,jambi,jambi,indonesia,gaul,gaul,gaul,gaul,gaul
fvijif,1995,jambi - kabupaten bungo,perempuan,orang tua,lebih dari 24,bungo,minang,guru smk n 2 m.bungo,bungo,bungo,minang,simabua (sk minang) ,s1,sumatera barat - kota bukittinggi,jambi - ma. bungo,pns (guru),islam,1966,minang,"bungo, indonesia",bungo,sungai abang,stm bungo,bungo,bungo,bungo,,s1,#name?,jambi - ma. bungo,kepala sekolah (swasta),islam,1967,bungo,indonesia,minang,minang,,minang,,minang,simabua (sk minang) ,,sumatera barat - kota bukittinggi,sumatera barat - kota bukittinggi,,islam,,minang,,,minang,,,,,,,sumatera barat - kota bukittinggi, ,pedagang,islam,,minang,,sungai abang,sungai abang,,b. daerah,,b. daerah,,,#name?,#name?,irt,islam,,b. daerah,,,sungai abang,,,,,,,#name?, ,kepala sekolah,islam,,b. daerah,,minang,bungo,bungo,"minang, bungo",,indonesia,indonesia,bungo,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,"bungo, indonesia",,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,indonesia
oapird,1992,jambi - kabupaten muaro jambi,perempuan,orang tua,1-2,"minang, jambi","minang, padang",indonesia,"minang, jambi",minang,minang,piliang,s1,sumatera barat,jambi,guru,islam,1962,"padang, minang",jambi,"minang, jambi",minang,indonesia,"minang, jambi",minang,minang,,s2,sumatera barat,sulawesi tenggara - kabupaten kolaka,dosen,islam,1959,"padang, minang",jambi,minang,minang,"minang, indonesia",minang,minang,minang,piliang,pgri,sumatera barat,sumatera barat,guru,islam,,minang,"minang, indonesia",minang,minang,"minang, indonesia",minang,minang,minang,,,sumatera barat,sumatera barat,guru,islam,,minang,minang,minang,minang,minang,minang,minang,minang,,,sumatera barat,sumatera barat,petani,islam,,minang,minang,minang,minang,minang,minang,minang,minang,,,sumatera barat,sumatera barat,petani,islam,,minang,minang,"indonesia, jambi, padang","indonesia, jambi, padang",jambi,"padang, minang, indonesia",,jambi,jambi,,jambi,"indonesia, jambi","jambi, indonesia, inggris","indonesia, jambi","jambi, indonesia, inggris",,"indonesia, inggris",indonesia,indonesia,jambi,b.inggris,jambi,jambi,indonesia,indonesia,"indonesia, jambi",jambi,indonesia,jambi,"indonesia, jambi",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
lljjjj,1995,jambi - kota jambi,perempuan,orangtua,3-5,indonesia,,,jambi,jambi,indonesia,batak,sma,sumatera utara - kota medan,jambi,,islam,1968,indonesia,jambi,jambi,,indonesia,jambi,jambi,jambi,melayu,sma,jambi,jambi,swasta,islam,1958,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,batak,,sumatera utara - kota medan,sumatera utara - kota medan,,islam,,indonesia,batak,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,batak,,sumatera utara - kota medan,sumatera utara - kota medan,,islam,,indonesia,batak,jambi,jambi,jambi,jambi,jambi,jambi,melayu,,jambi,jambi,,islam,,jambi,indonesia,jambi,jambi,jambi,jambi,jambi,jambi,melayu,,jambi,jambi,,islam,,jambi,indonesia,indonesia,jambi,jambi,indonesia,,jambi,jambi,,jambi,indonesia,indonesia,indonesia,jambi,,inggris,indonesia,arab,jambi,,jambi,jambi,indonesia,,indonesia,jambi,indonesia,jambi,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
uqbwix,1995,jambi - kotamadya,perempuan,orangtua,3-5,jambi,bugis,indonesia,jambi,jambi,jambi,bugis,mts,jambi,jambi,wiraswasta,islam,1974,bugis,jambi,jambi,bugis,indonesia,jambi,jambi,jambi,bugis,sma,jambi,jambi,petani,islam,1969,bugis,jambi,jambi,bugis,jambi,jambi,bugis,jambi,bugis,,jambi,jambi,penjahit,islam,,bugis,jambi,,bugis,jambi,jambi,bugis,jambi,bugis,,jambi,jambi,petani,islam,,bugis,jambi,,bugis,jambi,jambi,bugis,jambi,bugis,,jambi,jambi,petani,islam,,bugis,jambi,bugis,bugis,jambi,jambi,bugis,jambi,bugis,,jambi,jambi,petani,islam,,bugis,jambi,jambi,jambi,jambi,jambi,,indonesia,indonesia,,jambi,indonesia,indonesia,indonesia,gaul,,gaul,indonesia,arab,jambi,,jambi,jambi,indonesia,indonesia,indonesia,jambi,indonesia,jambi,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
nclknj,1994,jambi - tungkai ulu,laki,orang tua,1-2,jambi,minang,,jambi,kerinci,"kerinci, minang",minang,sma,sumatera barat - kota padang,jambi,guru,islam,,minang,jambi,jambi,jambi,"lppi, sinar mas",jambi,kerinci,kerinci,melayu,sma,jambi - kabupaten kerinci,jambi,swasta,islam,,kerinci,jambi,minang,minang,,,minang,minang,minang,,#name?,sumatera barat - kota padang,,islam,,minang,,minang,minang,,,minang,minang,minang,,#name?,sumatera barat - kota padang,,islam,,minang,,kerinci,kerinci,,,kerinci,kerinci,kerinci,,jambi - kabupaten kerinci,jambi - kabupaten kerinci,,islam,,kerinci,,kerinci,kerinci,,,kerinci,kerinci,kerinci,,jambi - kabupaten kerinci,jambi - kabupaten kerinci,,islam,,kerinci,,jambi,jambi,jambi,jambi,,jambi,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,jambi,,jambi,jambi,indonesia,indonesia,jambi,jambi,jambi,jambi,jambi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
rxgdaa,1995,jambi - kabupaten tebo,laki,orang tua dan kakak,12-24,jambi,daerah,"daerah, indonesia",daerah,daerah,daerah,"melayu,, minang",s1,"jambi - muara tebo, bungo",jambi - kabupaten tebo,guru pns,islam,1964,"daerah, indonesia",indonesia,"daerah jambi, tebo",daerah,"daerah, indonesia",daerah,"daerah jambi, tebo",daerah,sunda,smu,#name?,jambi - kabupaten tebo,wiraswasta,islam,1960,"daerah, indonesia",indonesia,,,,daerah,daerah,daerah,minang,, ,#name?,pns,islam,,daerah,indonesia,,,,daerah,daerah,daerah,minang,, ,#name?,pns,islam,,daerah,indonesia,,,,daerah,daerah,daerah,sunda,, ,#name?,wiraswasta,islam,,daerah,,,,,daerah,daerah,daerah,"sunda, minang",, , ,swasta,islam,,daerah,,"tebo, jambi","tebo, jambi","tebo, jambi","tebo, jambi",,"tebo, jambi",jambi,,"jambi, tebo, indonesia","asing, indonesia, jambi","tebo, jambi, melayu, indonesia",formal daerah,"daerah jambi, indonesia",,semi formal indonesia,indonesia,"indonesia, arab",daerah,,"daerah jambi, indonesia",daerah,indonesia,"daerah jambi, indonesia","daerah, indonesia",daerah,"daerah, indonesia","daerah, indonesia",,indonesia,indonesia,indonesia,,,
khchvt,1991,dki jakarta - jakarta,perempuan,orangtua,1-2,indonesia,jawa,indonesia,indonesia,indonesia,jawa,jawa,sma,dki jakarta - jakarta,dki jakarta - jakarta,,kristen (protestan),,jawa,indonesia,indonesia,batak,indonesia,indonesia,indonesia,indonesia,batak,sma,sumatera utara,sumatera utara,petani,kristen (protestan),,batak,indonesia,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,,jawa tengah - purwokerto,dki jakarta - jakarta,,islam,,jawa,indonesia,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,,jawa tengah - purwokerto,dki jakarta - jakarta,,islam,,jawa,indonesia,batak,batak,indonesia,indonesia,batak,batak,batak,,#name?,#name?,,kristen (protestan),,batak,indonesia,batak,batak,indonesia,indonesia,batak,batak,batak,,#name?,#name?,,kristen (protestan),,batak,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
kleusp,1996,bali - kabupaten jembrana,perempuan,orang tua,3-5,"daerah, indonesia","daerah, indonesia","daerah, indonesia","bali, indonesia","daerah, indonesia","daerah, indonesia",hindu,s1,bali - kabupaten jembrana,#name?,wiraswasta,hindu,1972,daerah,indonesia,"bali, indonesia","bali, indonesia","bali, indonesia","bali, indonesia","bali, indonesia","bali, indonesia",hindu,s1,bali - kabupaten jembrana,#name?,pns,hindu,1966,daerah,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"daerah, indonesia",,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
iwrkhc,1995,bali - kabupaten karangasem,perempuan,orang tua,6-12,bali,bali,bali,bali,bali,bali,,sd,bali - kabupaten karangasem,bali - kabupaten karangasem,pedagang,hindu,1969,bali,indonesia,bali,bali,indonesia,bali,bali,bali,,smp,bali - kabupaten karangasem,bali - kabupaten karangasem,polisi,hindu,1958,bali,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,bali,bali,bali,bali,,indonesia,"indonesia, bali",bali,bali,indonesia,indonesia,bali,indonesia,bali,indonesia,bali,bali,bali,indonesia,bali,bali,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, bali",bali,indonesia,indonesia,indonesia,indonesia,"indonesia, bali",indonesia
gfhmob,1995,bali - kabupaten bangli,perempuan,keluarga,12-24,bali,bali,bali,bali,bali,bali,bali,sd,bali - kabupaten bangli,bali - kabupaten bangli,,hindu,1970,bali,indonesia,bali,bali,bali,bali,bali,bali,bali,sma,bali - kabupaten bangli,bali - kabupaten bangli,pns,hindu,1960,bali,indonesia,bali,bali,bali,bali,bali,bali,bali,,bali - kabupaten bangli,bali - kabupaten bangli,,hindu,,bali,,bali,bali,bali,bali,bali,bali,bali,,bali - kabupaten bangli,bali - kabupaten bangli,,hindu,,bali,,bali,bali,bali,bali,bali,bali,bali,,bali - kabupaten bangli,bali - kabupaten bangli,,hindu,,bali,,bali,bali,bali,bali,bali,bali,bali,,bali - kabupaten bangli,bali - kabupaten bangli,,hindu,,bali,,bali,bali,bali,bali,,indonesia,bali,,bali,bali,indonesia,bali,indonesia,,indonesia,indonesia,bali,bali,,indonesia,bali,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,indonesia,indonesia
jcchkw,1994,bali - kabupaten buleleng,perempuan,orang tua,3-5,bali,bali,bali,indonesia,bali,bali,,sd,#name?,#name?,wiraswasta,islam,1965,bali,indonesia,bali,bali,bali,bali,bali,bali,,sma,#name?,#name?,wiraswasta,islam,1955,bali,indonesia,,,,,,,,, , ,,islam,1927,bali,indonesia,,,,,,,,, , ,,islam,1902,bali,indonesia,,,,,,,,, , ,,islam,1903,bali,indonesia,,,,,,,,, , ,,islam,1900,bali,indonesia,bali,bali,indonesia,bali,,bali,indonesia,,indonesia,indonesia,indonesia,bali,indonesia,,indonesia,indonesia,indonesia,"bali, indonesia",,,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,indonesia
ueyaqp,1995,bali - kabupaten buleleng,perempuan,orang tua,lebih dari 24,bali,bali,bali,bali,bali,bali,bali,sd,bali - kabupaten buleleng,bali - kabupaten buleleng,petani,hindu,1972,bali,indonesia,bali,bali,bali,bali,bali,bali,bali,sma,bali - kabupaten buleleng,bali - kabupaten buleleng,petani,hindu,1971,bali,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,bali,bali,bali,bali,,bali,bali,,bali,bali,bali,bali,bali,,indonesia,bali,bali,bali,,bali,bali,indonesia,indonesia,bali,bali,indonesia,bali,bali,indonesia,indonesia,indonesia,indonesia,bali,indonesia
fhatzw,1995,"bali - peliatan, ubud",perempuan,orang tua,lebih dari 24,bali,,bali,bali,bali,bali,bali,sma,bali - ubud,bali - ubud,wiraswasta,hindu,1975,bali,,bali,,bali,bali,bali,bali,bali,d3,bali - ubud,bali - ubud,wiraswasta,hindu,1965,bali,,bali,,bali,bali,bali,bali,bali,,#name?,#name?,,hindu,,bali,,bali,,bali,bali,bali,bali,bali,,#name?,#name?,,hindu,,bali,,bali,,bali,bali,bali,bali,bali,,#name?,#name?,,hindu,,bali,,bali,,bali,bali,bali,bali,bali,,#name?,#name?,,hindu,,bali,,bali,bali,bali,bali,,bali,bali,,bali,,bali,bali,"bali, indonesia",,indonesia,bali,bali,bali,,indonesia,bali,indonesia,indonesia,indonesia,bali,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
